"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"2B","Cory Spangenberg",2900,"ChC@SD 10:10PM ET",6.429,"SD"
"C","Pedro Severino",2900,"Was@Bal 07:05PM ET",5.750,"Was"
"1B/3B","Alex Rodriguez",2800,"NYY@Sea 10:10PM ET",5.492,"NYY"
"OF","Coco Crisp",2800,"Cle@Oak 10:05PM ET",7.216,"Oak"
"OF","Ryan Raburn",2800,"Col@Mil 07:20PM ET",3.926,"Col"
"OF","Mike Aviles",2800,"Atl@Ari 09:40PM ET",3.015,"Atl"
"1B","Dae-Ho Lee",2800,"NYY@Sea 10:10PM ET",5.357,"Sea"
"C","Roberto Perez",2800,"Cle@Oak 10:05PM ET",2.821,"Cle"
"OF","Jason Heyward",2800,"ChC@SD 10:10PM ET",5.963,"ChC"
"3B","Giovanny Urshela",2800,"Cle@Oak 10:05PM ET",0,"Cle"
"OF","Alex Dickerson",2800,"ChC@SD 10:10PM ET",6.673,"SD"
"3B/SS","Ronald Torreyes",2800,"NYY@Sea 10:10PM ET",3.477,"NYY"
"OF","Socrates Brito",2800,"Atl@Ari 09:40PM ET",4.263,"Ari"
"OF/SS","Taylor Motter",2800,"Bos@TB 07:10PM ET",3.794,"TB"
"OF","Tony Kemp",2800,"Hou@Pit 07:05PM ET",3.588,"Hou"
"OF","Rusney Castillo",2800,"Bos@TB 07:10PM ET",1.778,"Bos"
"3B","Juan Uribe",2700,"Cle@Oak 10:05PM ET",4.568,"Cle"
"2B/3B","Aaron Hill",2700,"Bos@TB 07:10PM ET",5.764,"Bos"
"C","Manny Pina",2700,"Col@Mil 07:20PM ET",4.692,"Mil"
"2B/OF","Michael Martinez",2700,"Cle@Oak 10:05PM ET",2.511,"Cle"
"1B","Logan Morrison",2700,"Bos@TB 07:10PM ET",5.946,"TB"
"2B/SS","Kristopher Negron",2700,"ChC@SD 10:10PM ET",0,"ChC"
"OF","Ryan Kalish",2700,"ChC@SD 10:10PM ET",2.286,"ChC"
"3B","Josh Vitters",2700,"ChC@SD 10:10PM ET",0,"ChC"
"C","Austin Romine",2700,"NYY@Sea 10:10PM ET",4.612,"NYY"
"OF","Brett Eibner",2700,"Cle@Oak 10:05PM ET",4.744,"Oak"
"3B","Will Middlebrooks",2700,"Col@Mil 07:20PM ET",2.300,"Mil"
"OF","Collin Cowgill",2700,"Cle@Oak 10:05PM ET",0.778,"Cle"
"1B","Andy Wilkins",2700,"Col@Mil 07:20PM ET",1.577,"Mil"
